"Label (Grouping)","Total:!!Male:!!18 years and over:!!Native","Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Total:!!Female:!!18 years and over:!!Native","Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen"
"Madison County, Florida","","","",""
"    Estimate","7,592","147","6,815","159"
"Manatee County, Florida","","","",""
"    Estimate","131,349","9,726","142,858","13,389"
"Marion County, Florida","","","",""
"    Estimate","125,653","7,646","141,517","9,169"
"Martin County, Florida","","","",""
"    Estimate","57,538","4,262","60,975","4,813"
"Miami-Dade County, Florida","","","",""
"    Estimate","387,814","368,108","384,094","474,904"
"Monroe County, Florida","","","",""
"    Estimate","26,862","3,361","22,671","4,183"
"Nassau County, Florida","","","",""
"    Estimate","32,029","1,045","33,561","987"
"Okaloosa County, Florida","","","",""
"    Estimate","76,198","2,656","70,717","5,533"
"Okeechobee County, Florida","","","",""
"    Estimate","14,805","1,182","13,349","795"
"Orange County, Florida","","","",""
"    Estimate","386,515","69,703","402,814","80,506"
"Osceola County, Florida","","","",""
"    Estimate","99,888","17,849","104,345","20,678"
"Palm Beach County, Florida","","","",""
"    Estimate","405,134","90,006","436,750","114,077"
"Pasco County, Florida","","","",""
"    Estimate","182,896","14,768","194,644","17,882"
"Pinellas County, Florida","","","",""
"    Estimate","334,916","31,030","366,058","40,545"
"Polk County, Florida","","","",""
"    Estimate","231,897","16,073","247,243","19,051"
"Putnam County, Florida","","","",""
"    Estimate","26,712","514","28,223","621"
"St. Johns County, Florida","","","",""
"    Estimate","87,552","5,652","94,197","6,484"
"St. Lucie County, Florida","","","",""
"    Estimate","100,028","14,374","106,913","15,755"
"Santa Rosa County, Florida","","","",""
"    Estimate","68,028","2,086","63,804","3,211"
"Sarasota County, Florida","","","",""
"    Estimate","150,494","13,596","167,396","16,234"
"Seminole County, Florida","","","",""
"    Estimate","146,892","17,980","159,103","22,012"
"Sumter County, Florida","","","",""
"    Estimate","56,755","1,729","56,767","2,895"
"Suwannee County, Florida","","","",""
"    Estimate","16,793","461","15,857","361"
"Taylor County, Florida","","","",""
"    Estimate","9,470","195","7,412","137"
"Union County, Florida","","","",""
"    Estimate","8,541","57","3,566","72"
"Volusia County, Florida","","","",""
"    Estimate","198,671","11,783","210,339","15,175"
"Wakulla County, Florida","","","",""
"    Estimate","13,821","292","11,344","140"
"Walton County, Florida","","","",""
"    Estimate","26,404","1,431","25,663","1,448"
"Washington County, Florida","","","",""
"    Estimate","10,686","234","8,703","152"
"Appling County, Georgia","","","",""
"    Estimate","6,397","69","6,605","205"
"Atkinson County, Georgia","","","",""
"    Estimate","2,420","114","2,615","67"
"Bacon County, Georgia","","","",""
"    Estimate","3,901","34","4,089","32"
"Baker County, Georgia","","","",""
"    Estimate","1,183","38","1,242","24"
"Baldwin County, Georgia","","","",""
"    Estimate","17,926","287","17,612","245"
"Banks County, Georgia","","","",""
"    Estimate","6,961","64","6,779","215"
"Barrow County, Georgia","","","",""
"    Estimate","25,797","1,604","28,117","1,499"
"Bartow County, Georgia","","","",""
"    Estimate","36,789","1,277","38,652","1,172"
"Ben Hill County, Georgia","","","",""
"    Estimate","5,520","79","6,611","88"
"Berrien County, Georgia","","","",""
"    Estimate","6,854","107","7,296","61"
"Bibb County, Georgia","","","",""
"    Estimate","50,537","1,287","60,499","1,511"
"Bleckley County, Georgia","","","",""
"    Estimate","4,736","42","5,290","162"
"Brantley County, Georgia","","","",""
"    Estimate","6,941","47","7,102","126"
"Brooks County, Georgia","","","",""
"    Estimate","5,531","86","6,123","73"
"Bryan County, Georgia","","","",""
"    Estimate","12,247","499","13,088","509"
"Bulloch County, Georgia","","","",""
"    Estimate","29,072","344","30,593","391"
"Burke County, Georgia","","","",""
"    Estimate","7,562","101","8,768","89"
"Butts County, Georgia","","","",""
"    Estimate","10,237","84","8,592","204"
"Calhoun County, Georgia","","","",""
"    Estimate","3,057","31","1,893","7"
"Camden County, Georgia","","","",""
"    Estimate","19,933","507","18,493","913"
"Candler County, Georgia","","","",""
"    Estimate","3,585","16","3,976","11"
"Carroll County, Georgia","","","",""
"    Estimate","40,653","600","45,004","845"
"Catoosa County, Georgia","","","",""
"    Estimate","23,584","343","26,735","485"
"Charlton County, Georgia","","","",""
"    Estimate","5,615","10","4,122","24"
"Chatham County, Georgia","","","",""
"    Estimate","98,474","4,255","111,023","4,922"
"Chattahoochee County, Georgia","","","",""
"    Estimate","5,471","124","2,431","119"
"Chattooga County, Georgia","","","",""
"    Estimate","9,505","64","8,946","89"
"Cherokee County, Georgia","","","",""
"    Estimate","82,265","4,551","87,554","5,123"
"Clarke County, Georgia","","","",""
"    Estimate","43,387","1,818","50,384","1,972"
"Clay County, Georgia","","","",""
"    Estimate","1,190","26","1,105","14"
"Clayton County, Georgia","","","",""
"    Estimate","76,120","8,678","96,507","8,254"
"Clinch County, Georgia","","","",""
"    Estimate","2,314","13","2,497","61"
"Cobb County, Georgia","","","",""
"    Estimate","221,723","25,777","246,543","29,034"
"Coffee County, Georgia","","","",""
"    Estimate","15,151","541","14,926","327"
"Colquitt County, Georgia","","","",""
"    Estimate","14,068","577","15,505","402"
"Columbia County, Georgia","","","",""
"    Estimate","50,925","2,435","53,794","3,652"
"Cook County, Georgia","","","",""
"    Estimate","5,797","139","6,575","25"
"Coweta County, Georgia","","","",""
"    Estimate","48,148","1,926","52,698","2,718"
"Crawford County, Georgia","","","",""
"    Estimate","4,884","93","4,737","25"
"Crisp County, Georgia","","","",""
"    Estimate","7,905","22","8,919","70"
"Dade County, Georgia","","","",""
"    Estimate","6,159","85","6,614","85"
"Dawson County, Georgia","","","",""
"    Estimate","9,662","387","9,731","259"
"Decatur County, Georgia","","","",""
"    Estimate","9,204","62","10,106","194"
"DeKalb County, Georgia","","","",""
"    Estimate","214,528","23,470","257,223","27,121"
"Dodge County, Georgia","","","",""
"    Estimate","8,570","1","7,838","110"
"Dooly County, Georgia","","","",""
"    Estimate","5,846","45","4,819","108"
"Dougherty County, Georgia","","","",""
"    Estimate","29,247","230","36,535","367"
"Douglas County, Georgia","","","",""
"    Estimate","43,789","3,559","51,342","3,396"
"Early County, Georgia","","","",""
"    Estimate","3,379","69","4,136","36"
"Echols County, Georgia","","","",""
"    Estimate","1,328","60","1,412","75"
"Effingham County, Georgia","","","",""
"    Estimate","21,467","472","22,390","428"
"Elbert County, Georgia","","","",""
"    Estimate","6,752","201","7,581","258"
"Emanuel County, Georgia","","","",""
"    Estimate","8,032","49","8,380","65"
"Evans County, Georgia","","","",""
"    Estimate","3,437","70","3,899","42"
"Fannin County, Georgia","","","",""
"    Estimate","10,003","282","10,922","148"
"Fayette County, Georgia","","","",""
"    Estimate","36,666","2,846","40,036","3,070"
"Floyd County, Georgia","","","",""
"    Estimate","32,145","1,055","36,351","1,078"
"Forsyth County, Georgia","","","",""
"    Estimate","63,821","9,404","67,708","9,581"
"Franklin County, Georgia","","","",""
"    Estimate","8,257","170","9,000","163"
"Fulton County, Georgia","","","",""
"    Estimate","326,332","28,856","364,745","33,159"
"Gilmer County, Georgia","","","",""
"    Estimate","11,415","339","11,861","325"
"Glascock County, Georgia","","","",""
"    Estimate","1,063","0","1,260","0"
"Glynn County, Georgia","","","",""
"    Estimate","28,405","1,080","33,858","928"
"Gordon County, Georgia","","","",""
"    Estimate","18,645","710","20,303","752"
"Grady County, Georgia","","","",""
"    Estimate","8,080","60","9,213","25"
"Greene County, Georgia","","","",""
"    Estimate","6,503","229","7,188","78"
"Gwinnett County, Georgia","","","",""
"    Estimate","216,197","50,618","239,265","56,291"
"Habersham County, Georgia","","","",""
"    Estimate","14,566","629","17,006","686"
"Hall County, Georgia","","","",""
"    Estimate","57,541","4,709","62,218","4,319"
"Hancock County, Georgia","","","",""
"    Estimate","4,301","3","3,116","11"
"Haralson County, Georgia","","","",""
"    Estimate","10,804","58","11,462","95"
"Harris County, Georgia","","","",""
"    Estimate","13,287","112","13,337","280"
"Hart County, Georgia","","","",""
"    Estimate","9,774","119","10,305","217"
"Heard County, Georgia","","","",""
"    Estimate","4,295","73","4,540","62"
"Henry County, Georgia","","","",""
"    Estimate","71,080","5,609","83,696","5,015"
"Houston County, Georgia","","","",""
"    Estimate","51,285","1,686","56,713","2,545"
"Irwin County, Georgia","","","",""
"    Estimate","3,852","50","3,399","34"
"Jackson County, Georgia","","","",""
"    Estimate","24,087","870","25,257","900"
"Jasper County, Georgia","","","",""
"    Estimate","5,042","62","5,400","59"
"Jeff Davis County, Georgia","","","",""
"    Estimate","4,965","259","5,706","69"
"Jefferson County, Georgia","","","",""
"    Estimate","5,434","52","6,067","77"
"Jenkins County, Georgia","","","",""
"    Estimate","3,055","78","3,454","76"
"Johnson County, Georgia","","","",""
"    Estimate","4,512","19","3,305","20"
"Jones County, Georgia","","","",""
"    Estimate","10,352","29","11,343","131"
"Lamar County, Georgia","","","",""
"    Estimate","6,697","289","7,786","20"
"Lanier County, Georgia","","","",""
"    Estimate","3,867","6","3,784","381"
"Laurens County, Georgia","","","",""
"    Estimate","16,125","68","18,823","331"
"Lee County, Georgia","","","",""
"    Estimate","10,439","362","10,606","311"
"Liberty County, Georgia","","","",""
"    Estimate","21,307","971","19,665","1,113"
"Lincoln County, Georgia","","","",""
"    Estimate","3,030","20","3,193","5"
"Long County, Georgia","","","",""
"    Estimate","6,684","105","6,535","141"
"Lowndes County, Georgia","","","",""
"    Estimate","40,466","764","44,167","1,058"
"Lumpkin County, Georgia","","","",""
"    Estimate","12,434","241","13,468","367"
"McDuffie County, Georgia","","","",""
"    Estimate","7,071","114","8,481","151"
"McIntosh County, Georgia","","","",""
"    Estimate","5,671","79","6,028","89"
"Macon County, Georgia","","","",""
"    Estimate","5,797","11","4,665","5"
"Madison County, Georgia","","","",""
"    Estimate","10,634","119","11,389","177"
"Marion County, Georgia","","","",""
"    Estimate","3,054","32","3,207","105"
"Meriwether County, Georgia","","","",""
"    Estimate","7,746","42","8,692","33"
"Miller County, Georgia","","","",""
"    Estimate","2,057","0","2,323","6"
"Mitchell County, Georgia","","","",""
"    Estimate","8,504","213","7,973","38"
"Monroe County, Georgia","","","",""
"    Estimate","10,505","96","10,717","91"
"Montgomery County, Georgia","","","",""
"    Estimate","3,458","131","3,360","59"
"Morgan County, Georgia","","","",""
"    Estimate","6,731","66","7,518","34"
"Murray County, Georgia","","","",""
"    Estimate","13,169","355","14,083","391"
"Muscogee County, Georgia","","","",""
"    Estimate","66,180","2,297","71,605","3,082"
"Newton County, Georgia","","","",""
"    Estimate","34,291","1,698","40,052","2,236"
"Oconee County, Georgia","","","",""
"    Estimate","12,772","634","13,480","909"
"Oglethorpe County, Georgia","","","",""
"    Estimate","5,743","2","5,854","38"
"Paulding County, Georgia","","","",""
